,game_id,away_score,home_score,total,total_line,result,spread_line,ewma_dynamic_window_rushing_offense_home,ewma_dynamic_window_passing_offense_home,ewma_dynamic_window_rushing_defense_home,ewma_dynamic_window_passing_defense_home,ewma_dynamic_window_rushing_offense_away,ewma_dynamic_window_passing_offense_away,ewma_dynamic_window_rushing_defense_away,ewma_dynamic_window_passing_defense_away,home_spread_hit,over_hit,home_team_win
0,2000_01_SF_ATL,28,36,64,46.5,8,6.5,-0.2157667015669424,0.0880630837551877,0.011924258611217,0.0909553074677252,0.0405450601981581,0.085402413697645,-0.1018833424314744,0.260712020053401,1,0,1
1,2000_01_JAX_CLE,27,7,34,38.5,-20,-10.5,-0.0971346889229128,-0.0118168902612848,0.0634778302121143,0.1523051777772363,-0.0008646826126936,0.1025496907438449,-0.2082965305475314,-0.1472945134113923,0,0,0
2,2000_01_IND_KC,27,14,41,44.0,-13,-3.5,-0.0584637759484491,0.0487215339217722,-0.1614785491033787,-0.0859589810611414,-0.1098875628253385,0.0559584081532988,-0.0490841069112095,0.0920244690992442,0,0,0
3,2000_01_CHI_MIN,27,30,57,46.5,3,4.5,-0.0665035417481763,0.1627767234056557,-0.2311057078893714,0.1327828655570715,-0.1874928716879618,-0.0795381703768481,-0.0574512411911617,0.1053174086824221,0,0,1
4,2000_01_TB_NE,21,16,37,36.0,-5,-3.0,-0.197793331116485,-0.2395333538040052,-0.1592270563643781,-0.0611189821765912,-0.2371611906536727,-0.1301622147875629,-0.1952545360728526,-0.2222307244778857,0,0,0
5,2000_01_DET_NO,14,10,24,40.5,-4,0.0,-0.1598970242569687,-0.1656447299279473,-0.0108694426641016,0.0933329550932147,-0.2378384120484519,-0.062163646133191,-0.1001066319113155,0.0103795543280498,0,0,0
6,2000_01_ARI_NYG,16,21,37,40.0,5,6.5,-0.1052736607451323,0.026415255699657,-0.118653099355011,0.1426197954122336,-0.1095181203094063,-0.1725884839204154,0.0860159599913777,0.115977653816432,0,0,1
7,2000_01_BAL_PIT,16,0,16,37.0,-16,-2.5,-0.1176055657080836,-0.1165237915943467,-0.0679158229480157,0.0024633901747568,-0.0979460866328704,-0.1150634263249406,-0.2059272738399679,-0.201636879247039,0,0,0
8,2000_01_CAR_WAS,17,20,37,47.5,3,10.5,-0.060330020523777,-0.0236094176761512,-0.1557878316365551,-0.0892488201085545,-0.1849068050603013,0.1875363806078772,0.0572989611662197,0.0012259018409445,0,0,1
9,2000_01_PHI_DAL,41,14,55,39.5,-27,6.0,0.0197650770573185,-0.0490858631847379,-0.1154905485462032,0.02884682636212,-0.1631704721044125,-0.1850817974135395,-0.1087913825629539,-0.1738418273012671,0,0,0
10,2000_01_NYJ_GB,20,16,36,44.0,-4,2.5,-0.1213980920711083,0.0282425456658937,-0.177311373455204,0.0713428172333921,-0.1133938247238236,0.132082978516048,-0.1052912931461684,-0.0524845449557819,0,0,0
11,2000_01_SEA_MIA,0,23,23,36.0,23,2.0,-0.3037000830743279,-0.1767310185656867,-0.1325337661185178,0.1113715275345984,-0.2495544150374471,-0.0453704851429877,-0.0827435990839106,0.0445547727455532,1,0,1
12,2000_01_TEN_BUF,13,16,29,40.0,3,1.0,-0.0794656215214623,0.0888414024215202,-0.15230426343064,-0.2635163576989354,0.0176087299603551,-0.072478647337172,-0.254595124722739,0.0175300116418283,1,0,1
13,2000_02_JAX_BAL,36,39,75,36.5,3,3.0,-0.0836676142106709,-0.07665462209707,-0.2615190576087642,-0.2043793746810068,0.0096108169339567,0.1674909063798616,-0.1315969076183012,-0.1602310085496693,99,0,1
14,2000_02_GB_BUF,18,27,45,38.5,9,6.0,-0.1184769137923811,0.0469402151050175,-0.169010414749804,-0.2867564779349518,-0.1710824173008642,0.00618228544222,-0.1599797592635752,0.1111048289548261,1,0,1
15,2000_02_CLE_CIN,24,7,31,40.5,-17,6.0,-0.0090893206004566,-0.0826662671493053,-0.1590501024692419,0.1470785530508941,-0.0404707928010573,-0.0503720705081769,0.0619736842462943,0.20862377926278,0,0,0
16,2000_02_MIA_MIN,7,13,20,42.5,6,3.0,-0.0015222182419906,0.1556592991422546,-0.1207547249500847,0.1299082930548093,-0.2872790137492512,-0.149090189211849,-0.1889936982611307,-0.0485807065087009,1,0,1
17,2000_02_NYG_PHI,33,18,51,39.5,-15,3.0,-0.0499594867379671,-0.1954722261034562,-0.0986664565635468,-0.2225300975487527,-0.0542308324516861,0.0197187490131858,-0.161337074152624,0.1195326877161808,0,0,0
18,2000_02_CHI_TB,0,41,41,36.5,41,7.0,-0.1543375235405575,-0.1268194820137916,-0.2062534178162216,-0.2160144689325682,-0.0840973466704554,-0.0425241516300254,0.0065610130594827,0.1089233152759562,1,0,1
19,2000_02_KC_TEN,14,17,31,38.5,3,8.5,-0.0302472882343784,-0.130686157719431,-0.2608033403022247,-0.0106915909292155,-0.1060310002334517,0.0225097424808221,-0.1618200312533854,-0.0216057097718007,0,0,1
20,2000_02_ATL_DEN,14,42,56,47.0,28,4.5,-0.062388850468471,0.0330028727922082,-0.0944143598773269,0.0047304144693729,-0.2435864832949475,0.1334845629671507,0.0018043104166696,0.0974977144841078,1,0,1
21,2000_02_WAS_DET,10,15,25,43.0,5,-5.5,-0.2668830830285645,-0.1390167280774577,-0.1357926293989527,-0.0794113899145355,-0.0502526404688043,0.0082932087727176,-0.1301389579395757,-0.0912604066995751,1,0,1
